movie_title,genres,gross,imdb_score,director_name,actor_1_name,actor_2_name,actor_3_name,,,
Spider-Man 2,Action Adventure Fantasy Romance,373377893,7.3,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,,,
Iron Man 3,Action Adventure Sci-Fi,408992272,7.2,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,,,
Alice in Wonderland,Adventure Family Fantasy,334185206,6.5,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,,,
X-Men: The Last Stand,Action Adventure Fantasy Sci-Fi Thriller,234360014,6.8,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,,,
Monsters University,Adventure Animation Comedy Family Fantasy,268488329,7.3,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,,,
Transformers: Revenge of the Fallen,Action Adventure Sci-Fi,402076689,6,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,,,
Transformers: Age of Extinction,Action Adventure Sci-Fi,245428137,5.7,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,,,
Oz the Great and Powerful,Adventure Family Fantasy,234903076,6.4,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,,,
The Amazing Spider-Man 2,Action Adventure Fantasy Sci-Fi,202853933,6.7,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,,,
TRON: Legacy,Action Adventure Sci-Fi,172051787,6.8,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,,,
Cars 2,Adventure Animation Comedy Family Sport,191450875,6.3,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,,,
Green Lantern,Action Adventure Sci-Fi,116593191,5.6,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,,,
Toy Story 3,Adventure Animation Comedy Family Fantasy,414984497,8.3,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,,,
Terminator Salvation,Action Adventure Sci-Fi,125320003,6.6,McG,Christian Bale,Bryce Dallas Howard,Common,,,
Furious 7,Action Crime Thriller,350034110,7.2,James Wan,Jason Statham,Paul Walker,Vin Diesel,,,
World War Z,Action Adventure Horror Sci-Fi Thriller,202351611,7,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,,,
X-Men: Days of Future Past,Action Adventure Fantasy Sci-Fi Thriller,233914986,8,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,,,
Star Trek Into Darkness,Action Adventure Sci-Fi,228756232,7.8,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,,,
Jack the Giant Slayer,Adventure Fantasy,65171860,6.3,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,,,
The Great Gatsby,Drama Romance,144812796,7.3,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,,,
Prince of Persia: The Sands of Time,Action Adventure Fantasy Romance,90755643,6.6,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,,,
Pacific Rim,Action Adventure Sci-Fi,101785482,7,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,,,
Transformers: Dark of the Moon,Action Adventure Sci-Fi,352358779,6.3,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,,,
Indiana Jones and the Kingdom of the Crystal Skull,Action Adventure Fantasy,317011114,6.2,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,,,
The Good Dinosaur,Adventure Animation Comedy Family Fantasy,123070338,6.8,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,,,
Brave,Adventure Animation Comedy Family Fantasy,237282182,7.2,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,,,
Star Trek Beyond,Action Adventure Sci-Fi Thriller,130468626,7.5,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,,,
WALL E,Adventure Animation Family Sci-Fi,223806889,8.4,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,,,
Rush Hour 3,Action Comedy Crime Thriller,140080850,6.2,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,,,
2012,Action Adventure Sci-Fi,166112167,5.8,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,,,
A Christmas Carol,Animation Drama Family Fantasy,137850096,6.8,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,,,
Jupiter Ascending,Action Adventure Sci-Fi,47375327,5.4,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,,,
The Legend of Tarzan,Action Adventure Drama Romance,124051759,6.6,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,,,
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,Adventure Family Fantasy,291709845,6.9,Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,,
X-Men: Apocalypse,Action Adventure Sci-Fi,154985087,7.3,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,,,
The Dark Knight,Action Crime Drama Thriller,533316061,9,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,,,
Up,Adventure Animation Comedy Family,292979556,8.3,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,,,
Monsters vs. Aliens,Action Adventure Animation Comedy Family Sci-Fi,198332128,6.5,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,,,
Iron Man,Action Adventure Sci-Fi,318298180,7.9,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,,,
Hugo,Adventure Drama Family Mystery,73820094,7.5,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,,,
Wild Wild West,Action Comedy Sci-Fi Western,113745408,4.8,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,,,
The Mummy: Tomb of the Dragon Emperor,Action Adventure Fantasy Horror Thriller,102176165,5.2,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,,,
Suicide Squad,Action Adventure Comedy Sci-Fi,161087183,6.9,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,,,
Evan Almighty,Comedy Family Fantasy,100289690,5.4,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,,,
Edge of Tomorrow,Action Adventure Sci-Fi,100189501,7.9,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,,,
Waterworld,Action Adventure Sci-Fi Thriller,88246220,6.1,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,,,
G.I. Joe: The Rise of Cobra,Action Adventure Sci-Fi Thriller,150167630,5.8,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,,,
Inside Out,Adventure Animation Comedy Drama Family Fantasy,356454367,8.3,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,,,
The Jungle Book,Adventure Drama Family Fantasy,362645141,7.8,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,,,
Iron Man 2,Action Adventure Sci-Fi,312057433,7,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,,,
Snow White and the Huntsman,Action Adventure Drama Fantasy,155111815,6.1,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,,,
Maleficent,Action Adventure Family Fantasy Romance,241407328,7,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,,,
Dawn of the Planet of the Apes,Action Adventure Drama Sci-Fi,208543795,7.6,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,,,
The Lovers,Action Adventure Romance Sci-Fi,,4.5,Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,,,
47 Ronin,Action Adventure Drama Fantasy,38297305,6.3,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,,,
Captain America: The Winter Soldier,Action Adventure Sci-Fi,259746958,7.8,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,,,
Shrek Forever After,Adventure Animation Comedy Family Fantasy,238371987,6.4,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,,,
Tomorrowland,Action Adventure Family Mystery Sci-Fi,93417865,6.5,Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,,,
Big Hero 6,Action Adventure Animation Comedy Drama Family Sci-Fi,222487711,7.9,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,,,
Wreck-It Ralph,Adventure Animation Comedy Family Sci-Fi,189412677,7.8,Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,,,
The Polar Express,Adventure Animation Family Fantasy,665426,6.6,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,,,
Independence Day: Resurgence,Action Adventure Sci-Fi,102315545,5.5,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,,,
How to Train Your Dragon,Adventure Animation Family Fantasy,217387997,8.2,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,,,
Terminator 3: Rise of the Machines,Action Sci-Fi,150350192,6.4,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,,,
Guardians of the Galaxy,Action Adventure Sci-Fi,333130696,8.1,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,,,
Interstellar,Adventure Drama Sci-Fi,187991439,8.6,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,,,
Inception,Action Adventure Sci-Fi Thriller,292568851,8.8,Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,,,
Godzilla Resurgence,Action Adventure Drama Horror Sci-Fi,,8.2,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,,,
The Hobbit: An Unexpected Journey,Adventure Fantasy,303001229,7.9,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,,,
The Fast and the Furious,Action Crime Thriller,144512310,6.7,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,,,
The Curious Case of Benjamin Button,Drama Fantasy Romance,127490802,7.8,David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,,,
X-Men: First Class,Action Adventure Sci-Fi,146405371,7.8,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,,,
The Hunger Games: Mockingjay - Part 2,Adventure Sci-Fi,281666058,6.6,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,,,
The Sorcerer's Apprentice,Action Adventure Family Fantasy,63143812,6.1,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,,,
Poseidon,Action Adventure Drama Thriller,60655503,5.6,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,,,
Alice Through the Looking Glass,Adventure Family Fantasy,76846624,6.4,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,,,
Shrek the Third,Adventure Animation Comedy Family Fantasy,320706665,6.1,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,,,
Warcraft,Action Adventure Fantasy,46978995,7.3,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,,,
Terminator Genisys,Action Adventure Sci-Fi,89732035,6.6,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,,,
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure Family Fantasy,104383624,6.3,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,,,
Pearl Harbor,Action Drama History Romance War,198539855,6.1,Michael Bay,Jennifer Garner,Jaime King,Mako,,,
Transformers,Action Adventure Sci-Fi,318759914,7.1,Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,,,
Alexander,Action Adventure Biography Drama History Romance War,34293771,5.5,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,,,
Harry Potter and the Order of the Phoenix,Adventure Family Fantasy Mystery,292000866,7.5,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,,,
Harry Potter and the Goblet of Fire,Adventure Family Fantasy Mystery,289994397,7.6,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,,,
Hancock,Action Drama,227946274,6.4,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,,,
I Am Legend,Drama Horror Sci-Fi,256386216,7.2,Francis Lawrence,Will Smith,Alice Braga,Willow Smith,,,
Charlie and the Chocolate Factory,Adventure Comedy Family Fantasy,206456431,6.7,Tim Burton,Johnny Depp,Christopher Lee,David Kelly,,,
Ratatouille,Animation Comedy Family Fantasy,206435493,8,Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,,,
Batman Begins,Action Adventure,205343774,8.3,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,,,
Madagascar: Escape 2 Africa,Action Adventure Animation Comedy Family,179982968,6.7,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,,,
Night at the Museum: Battle of the Smithsonian,Adventure Comedy Family Fantasy,177243721,5.9,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,,,
X-Men Origins: Wolverine,Action Adventure Fantasy Sci-Fi Thriller,179883016,6.7,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,,,
The Matrix Revolutions,Action Sci-Fi,139259759,6.7,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,,,
Frozen,Adventure Animation Comedy Family Fantasy Musical,400736600,7.6,Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,,,
The Matrix Reloaded,Action Sci-Fi,281492479,7.2,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,,,
Thor: The Dark World,Action Adventure Fantasy,206360018,7.1,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,,,
Mad Max: Fury Road,Action Adventure Sci-Fi Thriller,153629485,8.1,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,,,
Angels & Demons,Mystery Thriller,133375846,6.7,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,,,
Thor,Action Adventure Fantasy,181015141,7,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,,,
Bolt,Adventure Animation Comedy Drama Family,114053579,6.9,Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,,,
G-Force,Action Adventure Animation Comedy Family Fantasy Sci-Fi,119420252,5.1,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,,,
Wrath of the Titans,Action Adventure Fantasy,83640426,5.8,Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,,,
Dark Shadows,Comedy Fantasy Horror,79711678,6.2,Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,,,
Mission: Impossible - Rogue Nation,Action Adventure Thriller,195000874,7.4,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,,,
The Wolfman,Drama Fantasy Horror Thriller,61937495,5.8,Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,,,
The Legend of Tarzan,Action Adventure Drama Romance,124051759,6.6,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,,,
Bee Movie,Adventure Animation Comedy Family,126597121,6.2,Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,,,
Kung Fu Panda 2,Action Adventure Animation Comedy Family,165230261,7.3,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,,,
The Last Airbender,Action Adventure Family Fantasy,131564731,4.2,M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,,,
Mission: Impossible III,Action Adventure Thriller,133382309,6.9,J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,,,
White House Down,Action Drama Thriller,73103784,6.4,Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,,,
Mars Needs Moms,Action Adventure Animation Comedy Family Sci-Fi,21379315,5.4,Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,,,
Flushed Away,Adventure Animation Comedy Family,64459316,6.7,David Bowers,Hugh Jackman,Kate Winslet,David Suchet,,,
Mr. Peabody & Sherman,Adventure Animation Comedy Family Sci-Fi,111505642,6.9,Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,,,
Troy,Adventure,133228348,7.2,Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,,,
Madagascar 3: Europe's Most Wanted,Adventure Animation Comedy Family,216366733,6.9,Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,,,
Die Another Day,Action Adventure Thriller,160201106,6.1,Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,,,
Ghostbusters,Action Comedy Fantasy Sci-Fi,118099659,5.5,Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,,,
Armageddon,Action Adventure Sci-Fi Thriller,201573391,6.6,Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,,,
Men in Black II,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,190418803,6.1,Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,,,
Beowulf,Action Adventure Animation Fantasy,82161969,6.3,Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,,,
Kung Fu Panda 3,Action Adventure Animation Comedy Family,143523463,7.2,Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,,,
Mission: Impossible - Ghost Protocol,Action Adventure Thriller,209364921,7.4,Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,,,
Rise of the Guardians,Adventure Animation Family Fantasy,103400692,7.3,Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,,,
Fun with Dick and Jane,Comedy Crime,110332737,6.1,Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,,,
The Last Samurai,Action Drama History War,111110575,7.7,Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,,,
Exodus: Gods and Kings,Action Adventure Drama,65007045,6.1,Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,,,
Star Trek,Action Adventure Sci-Fi,257704099,8,J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,,,
Spider-Man,Action Adventure Fantasy Romance,403706375,7.3,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,,,
How to Train Your Dragon 2,Action Adventure Animation Comedy Family Fantasy,176997107,7.9,Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,,,
Gods of Egypt,Action Adventure Fantasy,31141074,5.5,Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown,,,
Stealth,Action Adventure Sci-Fi Thriller,31704416,5,Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh,,,
Watchmen,Action Drama Mystery Sci-Fi,107503316,7.7,Zack Snyder,Matt Frewer,Billy Crudup,Stephen McHattie,,,
Lethal Weapon 4,Action Crime Thriller,129734803,6.6,Richard Donner,Jet Li,Rene Russo,Darlene Love,,,
Hulk,Action Sci-Fi,132122995,5.7,Ang Lee,Kevin Rankin,Regi Davis,Celia Weston,,,
G.I. Joe: Retaliation,Action Adventure Sci-Fi Thriller,122512052,5.8,Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung,,,
Sahara,Action Adventure Comedy Thriller,68642452,6,Breck Eisner,Matthew McConaughey,Rainn Wilson,Delroy Lindo,,,
Final Fantasy: The Spirits Within,Action Adventure Animation Fantasy Romance Sci-Fi,32131830,6.4,Hironobu Sakaguchi,Steve Buscemi,Ming-Na Wen,Jean Simmons,,,
Captain America: The First Avenger,Action Adventure Sci-Fi,176636816,6.9,Joe Johnston,Chris Evans,Dominic Cooper,Hayley Atwell,,,
The World Is Not Enough,Action Adventure Thriller,126930660,6.4,Michael Apted,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,,,
Master and Commander: The Far Side of the World,Action Adventure Drama History War,93926386,7.4,Peter Weir,James D'Arcy,Lee Ingleby,David Threlfall,,,
The Twilight Saga: Breaking Dawn - Part 2,Adventure Drama Fantasy Romance,292298923,5.5,Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,,,
Happy Feet 2,Animation Comedy Family Musical,63992328,5.9,George Miller,Robin Williams,Brad Pitt,Common,,,
The Incredible Hulk,Action Adventure Sci-Fi,134518390,6.8,Louis Leterrier,Ty Burrell,Peter Mensah,William Hurt,,,
The Revenant,Adventure Drama Thriller Western,183635922,8.1,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,,,
Turbo,Adventure Animation Comedy Family Sport,83024900,6.5,David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,,,
Rango,Adventure Animation Comedy Family Western,123207194,7.2,Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,,,
Penguins of Madagascar,Adventure Animation Comedy Family,83348920,6.7,Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,,,
The Bourne Ultimatum,Action Mystery Thriller,227137090,8.1,Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney,,,
Kung Fu Panda,Action Adventure Animation Comedy Family,215395021,7.6,Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,,,
Ant-Man,Action Adventure Comedy Sci-Fi,180191634,7.4,Peyton Reed,Judy Greer,Hayley Atwell,T.I.,,,
The Hunger Games: Catching Fire,Adventure Sci-Fi Thriller,424645577,7.6,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,,,
The Twilight Saga: Breaking Dawn - Part 2,Adventure Drama Fantasy Romance,292298923,5.5,Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,,,
War of the Worlds,Adventure Sci-Fi Thriller,234277056,6.5,Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,,,
Bad Boys II,Action Comedy Crime Thriller,138396624,6.6,Michael Bay,Will Smith,Henry Rollins,Jordi Mollà,,,
Puss in Boots,Action Adventure Animation Comedy Family Fantasy,149234747,6.7,Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,,,
Salt,Action Crime Mystery Thriller,118311368,6.4,Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,,,
Noah,Action Adventure Drama,101160529,5.8,Darren Aronofsky,Anthony Hopkins,Emma Watson,Logan Lerman,,,
The Adventures of Tintin,Action Adventure Family Mystery,77564037,7.4,Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,,,
Harry Potter and the Prisoner of Azkaban,Adventure Family Fantasy Mystery,249358727,7.8,Alfonso Cuarón,Daniel Radcliffe,Gary Oldman,Rupert Grint,,,
Australia,Adventure Drama Romance War,49551662,6.6,Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo,,,
After Earth,Action Adventure Sci-Fi,60522097,4.9,M. Night Shyamalan,Will Smith,Zoë Kravitz,Glenn Morshower,,,
Dinosaur,Adventure Animation Family Thriller,137748063,6.5,Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,,,
Harry Potter and the Deathly Hallows: Part II,Action Fantasy,,7.5,Matt Birch,Rupert Grint,Dave Legeno,Ralph Ineson,,,
Night at the Museum: Secret of the Tomb,Adventure Comedy Family Fantasy,113733726,6.2,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,,,
Megamind,Action Animation Comedy Family Sci-Fi,148337537,7.3,Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,,,
